site_id,coral_cover,fish_biomass,year,sst,depth
SITE_001,55,431.35,2023,25.28,2.3
SITE_003,46.6,224.56,2023,22.53,16.4
SITE_004,81.6,160.9,2023,24.95,14
SITE_005,46.2,99.99,2023,23.98,13.9
SITE_006,76.8,225.5,2023,25.76,27.3
SITE_007,78.6,307.37,2023,26.27,12.3
SITE_009,40.8,250.15,2023,22.23,21.2
SITE_010,21,148.1,2023,24.71,5
SITE_011,80.1,276.03,2023,23.97,12.9
SITE_013,14.6,342.49,2023,24.36,8.5
SITE_015,64,209.95,2023,22.06,12
SITE_016,20.7,290.16,2023,24.48,6.5
SITE_017,51.2,383.15,2023,22.79,12.4
SITE_019,53.9,235.74,2023,22.07,25.4
SITE_021,58.6,333.49,2023,23.09,20.8
SITE_023,33.1,438.64,2023,23.09,11.6
SITE_025,37.7,350.73,2023,24.32,23.7
SITE_027,21.6,217.51,2023,24.05,13.9
SITE_029,20.6,443.61,2023,24.2,29.5
SITE_031,56.4,427.9,2023,25,26.5
SITE_032,76.9,190.6,2023,23.1,7.4
SITE_033,60.5,368.73,2023,23.83,4.2
SITE_034,65.3,169.26,2023,22.6,11.4
SITE_035,49.1,317.45,2023,26.07,9.5
SITE_036,59.5,266.58,2023,24.16,31
SITE_037,71.6,169.26,2023,22.48,0.7
SITE_038,69,304.07,2023,24.1,15.3
SITE_039,83.5,460.93,2023,22.96,20.9
SITE_040,43,455.84,2023,25.55,5.5
SITE_041,33.4,173.37,2023,26.19,12.1
SITE_042,40.7,194.67,2023,24.09,3.7
SITE_043,10.8,493.54,2023,24.68,36.5
SITE_044,23.8,329,2023,23.29,16.9
SITE_046,27.3,259.94,2023,25.11,23.9
SITE_047,27.9,233.07,2023,22.87,13.4
SITE_048,15.8,346.65,2023,27.06,17.2
SITE_049,28.4,118.56,2023,25.13,27.1
SITE_050,64.9,307.79,2023,23.43,10.3
