region,year,coral_cover,fish_biomass,species_richness,n_sites,population,fishing_effort,avg_income,fishing_dependence
Northern Red Sea,2019,51.2,228,38,15,NA,NA,NA,NA
Northern Red Sea,2020,45,195.1,38,15,47057,2823,1226,30
Northern Red Sea,2021,49.9,201,39,13,49663,2869,1299,38.2
Central Red Sea,2019,43.2,197.9,40,8,80771,4501,899,48
Central Red Sea,2020,43.4,176.1,33,13,NA,NA,NA,NA
Central Red Sea,2021,40.2,191.2,37,12,85243,4995,1062,46.6
Central Red Sea,2023,37.4,151.6,34,9,90193,5435,1122,49.8
Southern Red Sea,2018,44.7,185.7,42,11,NA,NA,NA,NA
Southern Red Sea,2019,42.2,192,37,11,NA,NA,NA,NA
Southern Red Sea,2020,34,163,25,12,NA,NA,NA,NA
Southern Red Sea,2021,39.4,160,38,11,129408,8346,952,68.9
Southern Red Sea,2022,28.9,156.8,22,11,133845,8641,1057,66.2
Gulf of Aqaba,2018,71.8,288.5,59,9,35657,1293,1480,19.9
Gulf of Aqaba,2019,68.1,308.8,52,10,36178,1330,1733,19.4
Gulf of Aqaba,2020,60.6,262.2,50,14,36025,1310,1756,23.6
Gulf of Aqaba,2021,55.3,261.5,50,9,38077,1296,1840,19.2
Gulf of Aqaba,2022,54.7,264.1,44,12,38871,1459,1717,18.5
Gulf of Aqaba,2023,58.1,266.2,44,8,38901,1562,1883,17.4
Saudi Coast,2018,56.5,231.2,45,9,95112,5669,1723,45.8
Saudi Coast,2021,50.2,211.1,41,11,103490,6730,2205,41.7
Saudi Coast,2022,56.4,219.3,46,12,105887,7056,2185,42.5
Saudi Coast,2023,48.3,231.3,42,10,NA,NA,NA,NA
